Class,Class Name,Class ID,Instructor Name,Location,Occupancy
CSE 310,Data Structures and Algorithms,11378,Xuerong Feng,TEMPE,118 of 150
CSE 310,Data Structures and Algorithms,16437,Xuerong Feng,TEMPE,149 of 156
CSE 310,Data Structures and Algorithms,18291,Justin Selgrad,TEMPE,156 of 156
CSE 310,Data Structures and Algorithms,24030,kevin ding,TEMPE,156 of 156
CSE 310,Data Structures and Algorithms,26224,kevin ding,TEMPE,156 of 156
CSE 310,Data Structures and Algorithms,32665,Yiran Luo,TEMPE,148 of 150
CSE 310,Data Structures and Algorithms,35290,Guoliang Xue,ASUONLINE,76 of 100
CSE 310,Data Structures and Algorithms,36869,Yiran Luo,TEMPE,73 of 156
CSE 310,Data Structures and Algorithms,16434,Xuerong Feng,TEMPE,48 of 52
CSE 310,Data Structures and Algorithms,16435,Xuerong Feng,TEMPE,37 of 52
CSE 310,Data Structures and Algorithms,16436,Xuerong Feng,TEMPE,37 of 46
CSE 310,Data Structures and Algorithms,16438,Xuerong Feng,TEMPE,52 of 52
CSE 310,Data Structures and Algorithms,18289,Xuerong Feng,TEMPE,49 of 52
CSE 310,Data Structures and Algorithms,18292,Justin Selgrad,TEMPE,52 of 52
CSE 310,Data Structures and Algorithms,18293,Xuerong Feng,TEMPE,44 of 52
CSE 310,Data Structures and Algorithms,19664,Justin Selgrad,TEMPE,52 of 52
CSE 310,Data Structures and Algorithms,21679,Justin Selgrad,TEMPE,52 of 52
CSE 310,Data Structures and Algorithms,24031,kevin ding,TEMPE,51 of 51
CSE 310,Data Structures and Algorithms,24032,kevin ding,TEMPE,52 of 52
CSE 310,Data Structures and Algorithms,24033,kevin ding,TEMPE,53 of 53
CSE 310,Data Structures and Algorithms,27267,kevin ding,TEMPE,53 of 53
CSE 310,Data Structures and Algorithms,27268,kevin ding,TEMPE,51 of 51
CSE 310,Data Structures and Algorithms,27269,kevin ding,TEMPE,52 of 52
CSE 310,Data Structures and Algorithms,32666,Yiran Luo,TEMPE,48 of 48
CSE 310,Data Structures and Algorithms,32667,Yiran Luo,TEMPE,53 of 54
CSE 310,Data Structures and Algorithms,32668,Yiran Luo,TEMPE,47 of 48
CSE 310,Data Structures and Algorithms,35291,Guoliang Xue,ASUONLINE,76 of 100
CSE 310,Data Structures and Algorithms,36870,Yiran Luo,TEMPE,17 of 52
CSE 310,Data Structures and Algorithms,36871,Yiran Luo,TEMPE,27 of 52
CSE 310,Data Structures and Algorithms,36872,Yiran Luo,TEMPE,29 of 52
